Vatten-ID	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Distrikt	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Vattentyp - Sjö	Limnisk vattentypsregion	Medeldjup (m)	Alkalinitet (mekv/l)	Humus (mg Pt/l)
SE683708-148325	Lindstasjön	Ljusnan - SE48000	Gävleborg - 21	Ljusdal - 2161	Bottenhavet	LW	Vattenförekomst	3---	3			
SE708512-153245	Grössjön	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE692180-145803	Per-Jonstjärnen	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE693801-159068	Bölesjön	Kustområde - SE39040	Västernorrland - 22	Timrå - 2262	Bottenhavet	LW	Vattenförekomst	2ML-	2	M	L	
SE719405-143047	Lejaren	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE680319-156740	Varbergsviken	Norralaån - SE47000	Gävleborg - 21	Söderhamn - 2182	Bottenhavet	LW	Vattenförekomst	2---	2			
SE672467-148031	Spjutsjön	Dalälven - SE53000	Dalarna - 20	Falun - 2080	Bottenhavet	LW	Vattenförekomst	2M--	2	M		
SE703225-153971	Skelingen	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE673723-137139	Niställingen	Dalälven - SE53000	Dalarna - 20	Malung-Sälen - 2023	Bottenhavet	LW	Vattenförekomst	3---	3			
SE675133-149715	Balungen	Dalälven - SE53000	Dalarna - 20	Falun - 2080	Bottenhavet	LW	Vattenförekomst	2M--	2	M		
SE691422-152558	Munktorpssjön	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3GL-	3	G	L	
SE718062-147503	Kalvtjärnarna	Ångermanälven - SE38000	Västerbotten - 24	Dorotea - 2425	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE720588-148913	Lilla Grubbsjön	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE693092-144058	Bredsillret	Ljungan - SE42000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Vattenförekomst	3---	3			
SE693077-131341	Övre Muggsjön / Bijjie Mokkenjaevrie	Göta älv - SE108000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	4---	4			
SE669082-148761	Källarbosjön	Dalälven - SE53000	Dalarna - 20	Säter - 2082	Bottenhavet	LW	Vattenförekomst	3---	3			
SE684665-157953	Håckstaviken	Kustområde - SE44045	Gävleborg - 21	Hudiksvall - 2184	Bottenhavet	LW	Vattenförekomst	2G--	2	G		
SE711450-164049	Trolltjärnen	Lögdeälven - SE32000	Västerbotten - 24	Åsele - 2463	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE700127-138203	Storslitingarna / Kruokkerejaure	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE701630-159747	Gåltjärnen	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	3MLB	3	M	L	B
SE685674-145314	Gräsvattnet	Ljusnan - SE48000	Jämtland - 23, Gävleborg - 21	Härjedalen - 2361, Ljusdal - 2161	Bottenhavet	LW	Vattenförekomst	3M--	3	M		
SE669171-149655	Ljustern	Dalälven - SE53000	Dalarna - 20	Säter - 2082	Bottenhavet	LW	Vattenförekomst	2---	2			
SE684738-148801	Stugutjärn	Ljusnan - SE48000	Gävleborg - 21	Ljusdal - 2161	Bottenhavet	LW	Vattenförekomst	3---	3			
SE710356-138759	Jille Bieinejaure	Indalsälven - SE40000	Jämtland - 23	Krokom - 2309	Bottenhavet	LW	Vattenförekomst	4---	4			
SE691434-132237	Norra Lill-Bredåtjärnarna	Göta älv - SE108000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3---	3			
SE677434-142551	Ätjärnen	Dalälven - SE53000	Dalarna - 20	Mora - 2062	Bottenhavet	LW	Vattenförekomst	2---	2			
SE678873-151408	Stora Öjungen	Ljusnan - SE48000	Gävleborg - 21	Bollnäs - 2183, Ovanåker - 2121	Bottenhavet	LW	Vattenförekomst	3M--	3	M		
SE695059-147525	Västra och Östra Stugusjön	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	Bottenhavet	LW	Vattenförekomst	3---	3			
SE695968-148435	Sösjön	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	Bottenhavet	LW	Vattenförekomst	3---	3			
SE707298-165316	Södra Nordsjön	Lögdeälven - SE32000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	2-LB	2		L	B
SE708137-138072	Övre Lill-Mjölkvattnet	Indalsälven - SE40000	Jämtland - 23	Krokom - 2309, Åre - 2321	Bottenhavet	LW	Vattenförekomst	----	3			
SE675219-142178	Jugan	Dalälven - SE53000	Dalarna - 20	Mora - 2062	Bottenhavet	LW	Vattenförekomst	3---	3			
SE690322-156336	Malstabodsjön	Ljungan - SE42000	Västernorrland - 22	Sundsvall - 2281	Bottenhavet	LW	Vattenförekomst	2-L-	2		L	
SE691510-133555	Mellan- Abborrvikarna	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3---	3			
SE718220-145133	Guoletsjaure	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE706010-140125	Mellsjön	Indalsälven - SE40000	Jämtland - 23	Krokom - 2309	Bottenhavet	LW	Vattenförekomst	3---	3			
SE716437-145053	Tjelikvattnen / Tjeelegjaevrieh	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE678079-155741	Gisslingen	Ljusnan - SE48000	Gävleborg - 21	Söderhamn - 2182	Bottenhavet	LW	Vattenförekomst	2---	2			
SE724359-143784	Valtanjaure	Vapstälven - SE115000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE693173-156812	Gåltjärnen	Selångersån - SE41000	Västernorrland - 22	Sundsvall - 2281	Bottenhavet	LW	Vattenförekomst	2-L-	2		L	
SE706830-146484	Lomsjön	Indalsälven - SE40000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE671930-147599	Mell-Valsan	Dalälven - SE53000	Dalarna - 20	Borlänge - 2081, Falun - 2080	Bottenhavet	LW	Vattenförekomst	2---	2			
SE714194-142065	Holmvattnet	Ångermanälven - SE38000	Jämtland - 23	Krokom - 2309	Bottenhavet	LW	Vattenförekomst	3---	3			
SE686948-131733	Skärvagsjön	Dalälven - SE53000	Dalarna - 20	Älvdalen - 2039	Bottenhavet	LW	Vattenförekomst	3---	3			
SE702808-137519	Helgesjön	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE674565-138342	Västra Håarna	Dalälven - SE53000	Dalarna - 20	Malung-Sälen - 2023	Bottenhavet	LW	Vattenförekomst	3---	3			
SE689719-141069	Stentjärnen	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3---	3			
SE696438-392803	Ytter-Dalsjön	Ljungan - SE42000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Preliminär vattenförekomst	3---	3			
SE703692-154867	Krångsjön	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE704742-149468	Recksjön	Indalsälven - SE40000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE715789-143719	Bakvattnet / Onne Gåeblie	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE685317-134968	Kringelsfjorden	Dalälven - SE53000	Dalarna - 20	Älvdalen - 2039	Bottenhavet	LW	Vattenförekomst	3---	3			
SE709975-162463	Kuttsjön	Gideälven - SE34000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE698650-134991	Gråsjön / Råafatjoelenjaevrie	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Vattenförekomst	4---	4			
SE699804-138569	Lill-Björnsjön	Indalsälven - SE40000	Jämtland - 23	Berg - 2326	Bottenhavet	LW	Vattenförekomst	3---	3			
SE710030-137374	Durrejaure	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE693329-154158	Bastutjärnen	Ljungan - SE42000	Västernorrland - 22	Sundsvall - 2281	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE720826-145979	Övre Fiskonsjön	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	4-LK	4		L	K
SE724749-145208	Bleriken	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE694582-149963	Övertjärnen	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE706046-155412	Holgsjön	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE696586-149544	Skåsjön	Ljungan - SE42000	Jämtland - 23	Bräcke - 2305	Bottenhavet	LW	Vattenförekomst	3---	3			
SE673266-148100	Nässmälingen	Dalälven - SE53000	Dalarna - 20	Falun - 2080	Bottenhavet	LW	Vattenförekomst	2---	2			
SE703769-145499	Norderåssjön	Indalsälven - SE40000	Jämtland - 23	Östersund - 2380	Bottenhavet	LW	Vattenförekomst	3---	3			
SE704816-134601	Häggsjön	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE715908-146546	Stor-Sjouten	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3M--	3	M		
SE690984-145325	Rosången	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3---	3			
SE674606-138669	Östra Håarna	Dalälven - SE53000	Dalarna - 20	Malung-Sälen - 2023	Bottenhavet	LW	Vattenförekomst	3---	3			
SE692284-152147	Roggsjön	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3ML-	3	M	L	
SE719730-144331	Göletsjaure / Göölehtsjaevrie	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE722557-150300	Atjiken	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE705573-134438	Skälltjärnen	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	3---	3			
SE668493-155449	Fängsjön	Dalälven - SE53000	Gävleborg - 21	Sandviken - 2181	Bottenhavet	LW	Vattenförekomst	2G--	2	G		
SE670076-146226	Stora Älgsjön	Dalälven - SE53000	Dalarna - 20	Borlänge - 2081	Bottenhavet	LW	Vattenförekomst	3---	3			
SE685383-157254	Kastellsjön	Kustområde - SE44045	Gävleborg - 21	Hudiksvall - 2184	Bottenhavet	LW	Vattenförekomst	2---	2			
SE712117-153728	Lillsjön	Ångermanälven - SE38000	Västerbotten - 24	Dorotea - 2425	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE701039-133265	Södra Bunnersjön	Indalsälven - SE40000	Jämtland - 23	Åre - 2321	Bottenhavet	LW	Vattenförekomst	4---	4			
SE702328-162466	Bysjön	Nätraån - SE37000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	2ML-	2	M	L	
SE671364-158841	Storfjärden	Dalälven - SE53000	Uppsala - 03	Älvkarleby - 0319	Bottenhavet	LW	Vattenförekomst	2---	2			
SE715094-148234	Slåttesselet	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE682543-154796	Stultsjön	Kustområde - SE46047	Gävleborg - 21	Hudiksvall - 2184, Söderhamn - 2182	Bottenhavet	LW	Vattenförekomst	2M--	2	M		
SE708611-160960	Norrtjärnen	Gideälven - SE34000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE693534-146206	Djup-Grötvattnet	Ljungan - SE42000	Västernorrland - 22	Ånge - 2260	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE721265-148184	Västra Marssjön	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE725519-147088	WA75927035	Vapstälven - SE115000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LK	3		L	K
SE672215-147386	Övre Valsan	Dalälven - SE53000	Dalarna - 20	Borlänge - 2081	Bottenhavet	LW	Vattenförekomst	3M--	3	M		
SE687283-148413	Nedre Enskogssjön	Ljusnan - SE48000	Gävleborg - 21	Ljusdal - 2161	Bottenhavet	LW	Vattenförekomst	3---	3			
SE714600-143558	Lillvattnet	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE673424-147881	Övre Ärtsjön	Dalälven - SE53000	Dalarna - 20	Falun - 2080	Bottenhavet	LW	Vattenförekomst	2---	2			
SE674853-142541	Långsjön	Dalälven - SE53000	Dalarna - 20	Mora - 2062	Bottenhavet	LW	Vattenförekomst	3---	3			
SE716085-144215	Hemvattnet / Tsåakajaevrie	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE717599-157790	Baksjön	Ångermanälven - SE38000	Västerbotten - 24	Vilhelmina - 2462	Bottenhavet	LW	Vattenförekomst	3-LB	3		L	B
SE691172-135853	Stor-Rassen	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3---	3			
SE704955-159090	Hällvattnet	Moälven - SE36000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3ML-	3	M	L	
SE698975-145620	Bölessjön	Ljungan - SE42000	Jämtland - 23	Östersund - 2380	Bottenhavet	LW	Vattenförekomst	3---	3			
SE709267-162172	Flärken	Gideälven - SE34000	Västernorrland - 22	Örnsköldsvik - 2284	Bottenhavet	LW	Vattenförekomst	3-L-	3		L	
SE710178-152760	Skavbergstjärnen	Ångermanälven - SE38000	Jämtland - 23	Strömsund - 2313	Bottenhavet	LW	Vattenförekomst	3---	3			
SE686551-145850	Öjingstjärnen	Ljusnan - SE48000	Jämtland - 23	Härjedalen - 2361	Bottenhavet	LW	Vattenförekomst	3M--	3	M		
SE701335-158957	Björksjön	Ångermanälven - SE38000	Västernorrland - 22	Sollefteå - 2283	Bottenhavet	LW	Vattenförekomst	2ML-	2	M	L	
