EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE727305-156200	Vällingträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE727178-155880	Lösträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE727076-155981	Sarvesträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE726262-154575	Stor-Arvträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE725682-161227	Storselet	Skellefteälven - SE20000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE724953-159598	Staggträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE725112-159772	Stor-Sobbträsket	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE723785-158485	Bredselet	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2DSYN	S	2	D	S	Y	N
SE735375-149947	Luspasjaure	Umeälven - SE28000	Norrbotten - 25, Västerbotten - 24	Arjeplog - 2506, Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE708863-169167	Ockelsjön	Umeälven - SE28000	Västerbotten - 24	Vännäs - 2460	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE711365-171748	Täftesträsket	Kustområde - SE26027	Västerbotten - 24	Umeå - 2480	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE710401-171080	Tavelsjön	Tavleån - SE27000	Västerbotten - 24	Umeå - 2480	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE708712-172291	Nydalasjön	Umeälven - SE28000	Västerbotten - 24	Umeå - 2480	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE707940-171693	Stöcksjön	Kustområde - SE28029	Västerbotten - 24	Umeå - 2480	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE714324-170758	Lillsävarträsket	Sävarån - SE26000	Västerbotten - 24	Umeå - 2480, Vindeln - 2404	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE720452-164070	Vormträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE720215-161913	Inre Tväråträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE719134-165439	Stor-Nackträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE718116-161684	Rusfors Dämningsområde	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481, Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLYN	S	2	D	L	Y	N
SE718255-161209	Rusträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE718435-163765	Abborrträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE717316-163585	Lycksträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE716604-165694	Nedre Arvträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE716069-163931	Storbacksjön	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE713888-162132	Granträsket	Öreälven - SE30000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Södra Västerbotten med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE713220-165544	Vittanträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE719646-159434	Bredträsket	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481, Storuman - 2421	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE724441-168833	Ullbergsträsket	Byskeälven - SE18000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSYN	S	2	S	S	Y	N
SE723692-170607	Stor-Klintträsket	Kågeälven - SE19000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE722791-168894	Granbergsträsket	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE722532-175259	Tåmträsket	Kustområde - SE17018	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE721083-174843	Ostträsket	Kustområde - SE18019	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE720606-170864	Stavträsket	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE719100-173625	Kvistforsens Dämn.Omr	Skellefteälven - SE20000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S3DSNN	S	3	D	S	N	N
SE718475-168474	Granträsket	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE718006-169331	Fäbodträsket	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE717947-174912	Falmarksträsket	Bureälven - SE21000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE717520-170752	Yttre Åträsket	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE717360-174615	Hjåggböleträsket	Bureälven - SE21000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE716804-170878	Villvattnet	Rickleån - SE24000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE716426-173668	Burträsket	Bureälven - SE21000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SLYN	S	3	S	L	Y	N
SE716168-173976	Bodträsket	Bureälven - SE21000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE716262-176362	Degerträsket	Kustområde - SE21022	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE715784-170123	Granöträsket	Sävarån - SE26000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE715392-175825	Stor-Lövvattnet	Mångbyån - SE22000	Västerbotten - 24	Skellefteå - 2482	SE1	SE1	Mellanbygden med kustvatten	LW	Vattenförekomst	NV(F)	S3SSYN	S	3	S	S	Y	N
SE733074-165572	Fätnajaure	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732372-163375	Välbma	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732094-163682	Sargajaure	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE731938-169416	Yttre Nästräsket	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE731215-164387	Rakkur	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE730436-166896	Sleng	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE729396-164988	Nuortejaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE729202-164319	Vaksemjaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE728744-162653	Vuolgamjaure	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE727795-166127	Arvidsjaursjön	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE727674-164252	Vattemjaure	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE727230-165022	Stenträsket	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE725188-168173	Skogträsket	Byskeälven - SE18000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Åby-, Byske- och Kågeälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE723944-166884	Järvträsket	Skellefteälven - SE20000	Norrbotten - 25	Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE728786-160751	Storavan	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506, Arvidsjaur - 2505	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLNN	S	2	D	L	N	N
SE733210-167230	Stor-Varjisträsket	Piteälven - SE13000	Norrbotten - 25	Arvidsjaur - 2505, Jokkmokk - 2510	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741315-151380	Ikesjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DLNN	S	1	D	L	N	N
SE741881-154557	Låddaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741348-154778	Njuosejaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE740885-156185	Viltok	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740325-150897	Kuoletisjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE740369-150302	Lulep Njallajávrre	SALTELVA/SKJERSTADFJORDEN OG SALTDALSFJORDEN SØR - 163	Norrbotten - 25	Arjeplog - 2506	SE1	SENO1103		LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE739402-154986	Gädgaureh H.814	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE739087-154586	Luleb Luoitaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738871-158813	Hålkåsjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738679-154122	Namatisjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE738206-156115	Misjkajaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738194-151287	Storselet	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE737466-154607	Tjaktjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736587-158853	Labbas	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE736965-159745	Guodunjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736618-155210	Jäggaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2DSNN	S	2	D	S	N	N
SE736029-160860	Gallajaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE736003-162659	Mårsomjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735983-150366	Vuordnajaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE735516-156258	Årjeb Issmejaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735334-153714	Iraft	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE735052-151887	Norra Tjålmejaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE734750-156470	Bajeb Jutas	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE734996-152341	Gavasjaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE734892-151818	Giertos	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE734333-156570	Lulep Jutas	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE733891-159413	Sakkaträsket	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE733929-163473	Puoitasjaure	Piteälven - SE13000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Piteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE733226-158477	Varrajaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732975-161056	Gublijaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE732414-160771	Västra Radnejaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE732160-156883	Vuodekjaure	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE730833-158095	Ravesjjaure	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE730519-157151	Miertiksjön	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE728513-160557	Gasa	Skellefteälven - SE20000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Skellefteälven med kustvatten	LW	Vattenförekomst	KMV(F)	S2SSNN	S	2	S	S	N	N
SE745510-152943	Statak	Luleälven - SE9000	Norrbotten - 25	Arjeplog - 2506, Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE751058-154358	Stipokjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE750483-157414	Rartujaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE749722-158595	Stuotakjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE749679-157565	Vartojaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE749135-159248	Vuoskeljaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE748058-152696	Råggejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE747189-156022	Alkajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE746988-162584	Arasjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE746440-153151	Kapasjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE746185-153533	Kapasluoppal	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE745096-156597	Låptåvakkjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S1DSNN	S	1	D	S	N	N
SE744180-162197	Raktenjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE743569-167089	Stuor-Jelka	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE742651-165457	Kieptijaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE742164-160561	Saggat	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DLNN	S	2	D	L	N	N
SE741783-163273	Katnihaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741600-160110	Vuoskonjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741031-162481	Harrokjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE741086-168163	Anajaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740683-158819	Silesjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740515-167528	Sjatjerim	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE739874-168945	Järtasjön	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE740129-168190	Östra Ållojaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2SSNN	S	2	S	S	N	N
SE739161-165728	Nårvejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738541-170338	Letsimagasinet	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	KMV(F)	S2DLNN	S	2	D	L	N	N
SE738681-168003	Sör-Tjalmejaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE738206-166328	Suobbatjaure	Luleälven - SE9000	Norrbotten - 25	Jokkmokk - 2510	SE1	SE1	Råne-Luleälvens med kustvatten	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
