EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Allmänna uppgifter	Vattentyp - Sjö	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Djupkategori	Yta	Färg (Humus)	Bakgrundsalkalinitet
SE671072-136250	Värsjön	Göta älv - SE108000	Värmland - 17	Torsby - 1737	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE667493-134373	Vassjön	Göta älv - SE108000	Värmland - 17	Torsby - 1737	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE667096-133937	Torsby-Sjöarna	Göta älv - SE108000	Värmland - 17	Torsby - 1737	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE675447-134368	Tåsjön	Göta älv - SE108000	Dalarna - 20, Värmland - 17	Malung-Sälen - 2023, Torsby - 1737	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE661142-142174	Skarpen	Göta älv - SE108000	Värmland - 17	Filipstad - 1782, Storfors - 1760	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE660654-141995	Stora Hättsjön	Göta älv - SE108000	Värmland - 17	Filipstad - 1782, Storfors - 1760	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE660019-142000	Stora Gryttingen	Göta älv - SE108000	Örebro - 18, Värmland - 17	Karlskoga - 1883, Storfors - 1760	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE658790-142151	Alkvettern	Göta älv - SE108000	Örebro - 18, Värmland - 17	Karlskoga - 1883, Storfors - 1760	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S3DLNN	S	3	D	L	N	N
SE660659-134348	Stor-Emsen	Göta älv - SE108000	Värmland - 17	Grums - 1764, Kil - 1715	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE658086-134974	Vänern - Åsfjorden	Göta älv - SE108000	Värmland - 17	Grums - 1764, Karlstad - 1780	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6DLNN	S	6	D	L	N	N
SE660337-133600	Rommen	Göta älv - SE108000	Värmland - 17	Arvika - 1784, Grums - 1764	SE5	SE5	Borgviksälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE661730-127741	Östen	Göta älv - SE108000	Värmland - 17	Årjäng - 1765	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE658086-130264	Bysjön	Göta älv - SE108000	Värmland - 17	Årjäng - 1765	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE658138-130075	Svensbysjön	Göta älv - SE108000	Värmland - 17	Årjäng - 1765	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE659330-129419	Mossvattnet	Göta älv - SE108000	Värmland - 17	Årjäng - 1765	SE5	SE5	Upperudsälven	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE662570-134858	Aplungen	Göta älv - SE108000	Värmland - 17	Sunne - 1766	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE662653-135927	Skacksjön	Göta älv - SE108000	Värmland - 17	Sunne - 1766	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE664198-135102	Övre Fryken	Göta älv - SE108000	Värmland - 17	Sunne - 1766, Torsby - 1737	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S3DLYN	S	3	D	L	Y	N
SE666320-133768	Skallbergssjön	Göta älv - SE108000	Värmland - 17	Sunne - 1766, Torsby - 1737	SE5	SE5	Norsälven	LW	Vattenförekomst	NV(F)	S3DSYN	S	3	D	S	Y	N
SE659236-137481	Alstern	Göta älv - SE108000	Värmland - 17	Karlstad - 1780	SE5	SE5	Alsterälven	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE658778-138698	Panken	Göta älv - SE108000	Värmland - 17	Karlstad - 1780	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE658542-138470	Vänern - Arnöfjorden	Göta älv - SE108000	Värmland - 17	Karlstad - 1780	SE5	SE5	Vänern och dess närområden	LW	Vattenförekomst	NV(F)	S6SSYN	S	6	S	S	Y	N
SE661493-137312	Västra Örten	Göta älv - SE108000	Värmland - 17	Forshaga - 1763, Karlstad - 1780	SE5	SE5	Klarälven	LW	Vattenförekomst	NV(F)	S3DSNN	S	3	D	S	N	N
SE657042-141128	Vismen	Göta älv - SE108000	Örebro - 18, Värmland - 17	Degerfors - 1862, Kristinehamn - 1781	SE5	SE5	Visman	LW	Vattenförekomst	NV(F)	S6DSYN	S	6	D	S	Y	N
SE656755-141273	Sälsjön	Göta älv - SE108000	Örebro - 18, Värmland - 17	Degerfors - 1862, Kristinehamn - 1781	SE5	SE5	Visman	LW	Vattenförekomst	NV(F)	S6DSNN	S	6	D	S	N	N
SE666354-140577	Holmsjön	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE666089-141052	Djuprämmen	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE663260-141673	Långban	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
SE663728-141319	Hyttsjön	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE663401-141209	Lilla Horssjön	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSYN	S	2	D	S	Y	N
SE662853-141207	Stora Horssjön	Göta älv - SE108000	Värmland - 17	Filipstad - 1782	SE5	SE5	Gullspångsälven	LW	Vattenförekomst	NV(F)	S2DSNN	S	2	D	S	N	N
