WB,n
SE634778-164458,4
SE634787-147909,2
SE634796-149257,3
SE634797-147347,6
SE634929-132215,4
SE634950-202940,25
SE635010-134905,3
SE635013-132880,2
SE635030-135088,3
SE635040-133900,3
SE635040-204196,24
SE635076-142186,3
SE635088-131909,4
SE635100-149093,4
SE635184-129658,4
SE635256-130337,3
SE635277-136133,2
SE635300-205251,4
SE635312-343388,4
SE635334-135239,22
SE635387-131653,3
SE635388-148457,6
SE635445-137969,3
SE635447-130296,4
SE635506-133174,2
SE635615-131028,4
SE635642-147073,2
SE635660-199490,30
SE635694-154255,4
SE635724-142864,3
SE635751-129942,4
SE635786-154006,4
SE635793-130642,3
SE635802-129462,4
SE635811-136243,4
SE635840-130499,4
SE635883-138564,3
SE635936-132488,6
SE635995-153402,4
SE636004-135778,3
SE636092-132089,3
SE636150-199220,37
SE636195-135723,3
SE636197-130272,2
SE636203-131652,4
SE636212-128703,4
SE636340-140067,3
SE636365-136675,3
SE636394-145583,6
SE636438-138132,3
SE636471-129876,4
SE636477-145682,4
SE636489-144228,2
SE636512-129668,3
SE636565-149745,4
SE636570-203590,31
SE636572-137736,2
SE636580-138977,2
SE636608-137323,2
SE636623-136573,4
SE636628-148821,4
SE636675-130252,2
SE636685-131203,2
SE636728-145193,3
SE636733-138428,2
SE636742-148800,3
SE636750-146670,3
SE636785-146102,2
SE636806-147459,4
SE636850-149669,6
SE636859-132233,2
SE636866-150376,3
SE636887-143795,3
SE636910-204040,33
SE636914-145499,4
SE636929-144960,4
SE636957-144811,3
SE637054-146225,2
SE637070-204260,26
SE637078-135977,3
SE637079-147724,4
SE637112-166926,4
SE637129-131903,4
SE637148-148876,4
SE637170-142038,4
SE637179-127108,2
SE637187-135350,4
SE637223-151155,6
SE637230-137944,2
SE637232-130223,2
SE637234-137340,6
SE637260-128728,5
SE637262-130508,4
SE637275-129659,4
SE637288-143144,2
SE637303-151191,4
SE637310-204860,5
SE637318-137283,4
SE637325-137538,4
SE637352-148266,2
SE637379-137645,3
SE637382-148784,3
SE637386-138773,2
SE637392-154031,4
SE637440-143465,4
SE637469-147319,4
SE637640-204160,21
SE637687-140237,2
SE637723-129889,4
SE637755-153972,2
SE637765-137092,2
SE637782-143713,4
SE637786-149558,4
SE637809-130947,4
SE637826-164572,2
SE637865-137291,2
SE637884-127885,4
SE637960-132204,4
SE637987-148790,2
SE637990-140480,3
SE638011-145865,3
SE638014-136892,6
SE638029-142710,3
SE638030-148585,3
SE638079-139483,4
SE638085-138862,22
SE638146-146910,6
SE638159-141595,2
SE638168-140554,3
SE638173-130569,4
SE638220-137724,4
SE638250-129087,4
SE638280-144298,3
SE638317-138010,30
SE638333-128636,4
SE638343-154195,3
SE638348-137512,2
SE638354-154208,2
SE638358-139999,4
SE638382-144572,4
SE638397-166568,4
SE638409-138549,3
SE638436-130033,4
SE638458-145177,3
SE638505-139801,4
SE638561-141289,4
SE638632-128368,4
SE638704-129951,4
SE638705-130519,4
SE638725-146677,25
SE638734-128594,4
SE638760-137501,2
SE638769-148655,4
SE638819-142813,3
SE638864-137003,4
SE638875-129660,4
SE638920-127751,4
SE638921-130108,4
SE638931-137765,4
SE638942-140187,3
SE638986-167478,4
SE638988-130951,4
SE639017-144472,3
SE639029-128062,4
SE639029-147620,2
SE639042-138349,4
SE639079-145114,2
SE639129-137628,4
SE639170-142371,3
SE639176-152040,3
SE639185-130062,4
SE639215-129895,4
SE639230-128547,4
SE639243-139625,3
SE639254-133214,4
SE639254-152136,4
SE639262-166469,4
SE639267-146580,2
SE639271-143690,2
SE639277-134166,2
SE639310-146180,4
SE639328-128376,4
SE639362-134159,3
SE639368-146355,2
SE639400-128962,4
SE639403-128153,4
SE639412-145078,3
SE639431-129279,4
SE639475-146769,2
SE639479-138198,2
SE639524-127498,4
SE639559-148926,4
SE639565-128173,3
SE639571-138458,4
