EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE706062-169985	Ängerån	Kustområde - SE29030	Västerbotten - 24	Umeå - 2480	SE1	SE1	Södra Västerbotten med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE728637-144535	Krutåga	RØSSÅGA/ELSFJORD OG SØRFJORDEN - 155	Västerbotten - 24	Storuman - 2421	SE1	SENO1103		RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE731241-144221	Storelva	RØSSÅGA/ELSFJORD OG SØRFJORDEN - 155	Nordland - N18, Västerbotten - 24	Hemnes - N1832, Storuman - 2421	SE1	SENO1103		RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE720243-164014	Vormbäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE733945-149626	SE733945-149626	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE729697-156519	Nedra Gertsbäcken	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE734180-149086	Vivojukke	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V1SNN	V	1	S	N	N
SE713181-170209	Bubergsån	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE713053-170436	Rödån	Umeälven - SE28000	Västerbotten - 24	Vindeln - 2404	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE735202-154710	Viejeströmmen	Umeälven - SE28000	Norrbotten - 25	Arjeplog - 2506	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE734989-148983	Vindelälven	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V1LNN	V	1	L	N	N
SE729130-155473	Låktabäcken	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2SNN	V	2	S	N	N
SE731885-150049	Tjulån	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE726961-156235	Olsbäcken	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE726912-157045	Olsbäcken	Umeälven - SE28000	Västerbotten - 24	Sorsele - 2422	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE719654-163239	Ruskträskbäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
SE719574-163103	Ruskträskbäcken	Umeälven - SE28000	Västerbotten - 24	Lycksele - 2481	SE1	SE1	Ume- och Vindelälven med kustvatten	RW	Vattenförekomst	NV(F)	V2LNN	V	2	L	N	N
