EU_CD Vatten	Namn Vatten	Huvudavrinningsområde	Län	Kommun(er)	Myndighet	Distrikt	Åtgärdsområde	Vattenkategori	Vattnet är vattenförekomst/övrigt vatten	Tillkomst/härkomst	Vattentyp - Vattendrag	Vattenkategori	Limnisk ekoregion/Kustvattentyp	Avrinningsområde	Färg (Humus)	Bakgrundsalkalinitet
SE625443-135112	Smedjeån	Lagan - SE98000	Skåne - 12	Örkelljunga - 1257	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE622366-131556	HASSLARPSÅN:Skavebäck-källa	Vege å - SE95000	Skåne - 12	Helsingborg - 1283, Åstorp - 1277, Ängelholm - 1292	SE5	SE5	Vege å	RW	Vattenförekomst	NV(F)	V5SNY	V	5	S	N	Y
SE617710-138599	Verkaån	Kustområde - SE88089	Skåne - 12	Hörby - 1266, Simrishamn - 1291, Sjöbo - 1265, Tomelilla - 1270	SE4	SE4	Österlen	RW	Vattenförekomst	NV(F)	V5LNY	V	5	L	N	Y
SE665332-159792	Björklingeån - mynningen till Björklinge	Norrström - SE61000	Uppsala - 03	Uppsala - 0380	SE3	SE3	Fyrisån	RW	Vattenförekomst	NV(F)	V4LYY	V	4	L	Y	Y
SE636468-149244	EMÅN: Stensjöbäcken - Sällevadsån	Emån - SE74000	Kalmar - 08	Hultsfred - 0860	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE644932-127552	Grössbyån	Kustområde - SE108109	Västra Götaland - 14	Stenungsund - 1415	SE5	SE5	Kustnära områden (norr)	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE616871-132975	SEGE Å: Havet-Torrebergabäcken	Sege å - SE90000	Skåne - 12	Burlöv - 1231, Malmö - 1280, Staffanstorp - 1230	SE4	SE4	Segeå	RW	Vattenförekomst	NV(F)	V5LNY	V	5	L	N	Y
SE638918-129332	Kungsbackaån - Oxsjön till Östra Ingsjön (bäck från Oxsjön)	Kungsbackaån - SE107000	Halland - 13, Västra Götaland - 14	Kungsbacka - 1384, Mark - 1463	SE5	SE5	Kungsbackaån	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE639819-139887	Tabergsån: Lillån vid Råslätt - Vederydssjön	Motala ström - SE67000	Jönköping - 06	Jönköping - 0680	SE4	SE4	Vättern	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE631516-134954	Färgån (St Färgen-Mellanfärgen)	Nissan - SE101000	Halland - 13	Hylte - 1315	SE5	SE5	Nissan	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE651158-146999	Ängstuguån	Motala ström - SE67000	Östergötland - 05	Motala - 0583	SE4	SE4	Finspångsåarna	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE622741-132411	Humlebäcken	Vege å - SE95000	Skåne - 12	Åstorp - 1277, Ängelholm - 1292	SE5	SE5	Vege å	RW	Vattenförekomst	NV(F)	V5SNY	V	5	S	N	Y
SE660418-153072	Bodabäcken: Bodabäcken, Vretabäcken	Norrström - SE61000	Västmanland - 19	Hallstahammar - 1961, Västerås - 1980	SE3	SE3	Freden-Närområde	RW	Vattenförekomst	NV(F)	V4LYY	V	4	L	Y	Y
SE623068-149422	Lillån	Kustområde - SE79080	Blekinge - 10	Karlskrona - 1080	SE4	SE4	Blekinges sydostkust	RW	Vattenförekomst	NV(F)	V5SYN	V	5	S	Y	N
SE649994-124458	Jorälven	Kustområde - SE110111	Västra Götaland - 14	Tanum - 1435	SE5	SE5	Kustnära områden (norr)	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE636906-130880	Hyltenäsån (mellan Öresjön och Tolken)	Viskan - SE105000	Västra Götaland - 14	Mark - 1463	SE5	SE5	Viskan	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE653351-126376	Grubberödsälven	Enningdalsälven - SE112000	Västra Götaland - 14	Dals-Ed - 1438, Tanum - 1435	SE5	SENO5101	Enningdalsälven	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE653691-156200	Vattendraget från Båven till Lidsjön (Sibro)	Nyköpingsån - SE65000	Södermanland - 04	Flen - 0482, Nyköping - 0480	SE3	SE3	Nyköpingsån	RW	Vattenförekomst	NV(F)	V4LNN	V	4	L	N	N
SE631481-146722	Lillasjöbäcken	Mörrumsån - SE86000	Kronoberg - 07	Uppvidinge - 0760	SE4	SE4	Mörrumsån	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE649324-148133	Stjärnorpebäcken	Motala ström - SE67000	Östergötland - 05	Linköping - 0580, Motala - 0583	SE4	SE4	Övre Motalaström	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE647710-145244	Marstadbäcken	Motala ström - SE67000	Östergötland - 05	Mjölby - 0586, Motala - 0583, Vadstena - 0584	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(R)	V4SNY	V	4	S	N	Y
SE668754-143853	Gänsån	Norrström - SE61000	Dalarna - 20	Gagnef - 2026, Ludvika - 2085	SE3	SE3	Kolbäcksån	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE646653-150431	Sviestadsån (Vin-Svinstadsjön)	Motala ström - SE67000	Östergötland - 05	Linköping - 0580, Åtvidaberg - 0561	SE4	SE4	Övre Motalaström	RW	Vattenförekomst	NV(R)	V4SYY	V	4	S	Y	Y
SE634815-128888	Bäck från Deromesjön (till Skuttran)	Viskan - SE105000	Halland - 13	Varberg - 1383	SE5	SE5	Viskan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE633652-153601	Emån: Lillån - Videbäck	Emån - SE74000	Kalmar - 08	Mönsterås - 0861	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE642065-146335	Bäck från Tången till Sommen	Motala ström - SE67000	Östergötland - 05	Ydre - 0512	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(R)	V4SNN	V	4	S	N	N
SE634200-138350	Lillån vid Herrestad	Lagan - SE98000	Jönköping - 06	Värnamo - 0683	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE646429-154770	Passdalsån	Kustområde - SE68069	Östergötland - 05	Söderköping - 0582, Valdemarsvik - 0563	SE4	SE4	Motala ströms kust och skärgård	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE660017-161767	Oxundaån-Väsbyån	Norrström - SE61000	Stockholm - 01	Sollentuna - 0163, Upplands-Väsby - 0114	SE3	SE3	Skarven-Närområde	RW	Vattenförekomst	NV(F)	V4LNY	V	4	L	N	Y
SE637570-135218	Assman: Genom Tranemosjön	Ätran - SE103000	Västra Götaland - 14	Tranemo - 1452	SE5	SE5	Ätran	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE646611-140950	Hjoån	Motala ström - SE67000	Västra Götaland - 14	Hjo - 1497	SE4	SE4	Vättern	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE653553-126927	Gärsebäcken	Örekilsälven - SE110000	Västra Götaland - 14	Dals-Ed - 1438	SE5	SE5	Örekilsälven	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE632612-134551	Skärkeå (Jansbergssjön-Skärsjön)	Nissan - SE101000	Halland - 13	Hylte - 1315	SE5	SE5	Nissan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE635642-147073	Farstorpaån	Emån - SE74000	Jönköping - 06	Vetlanda - 0685	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE653060-143450	Å mellan Ö Laxsjön och V Laxsjön	Norrström - SE61000	Örebro - 18	Laxå - 1860	SE3	SE3	Svartån till Hjälmaren	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE617088-137600	KÄVLINGEÅN:Tranåsbäcken-Djurrödsbäcken	Kävlingeån - SE92000	Skåne - 12	Sjöbo - 1265	SE4	SE4	Kävlingeån	RW	Vattenförekomst	NV(F)	V5LNY	V	5	L	N	Y
SE644608-152469	Storån (inlopp Åkervristen)	Storån - SE70000	Östergötland - 05	Åtvidaberg - 0561	SE4	SE4	Storån vid Åtvidaberg	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE632604-136967	Mjösjöbäcken	Lagan - SE98000	Jönköping - 06	Gislaved - 0662	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE643239-150595	Vid Björkfors	Motala ström - SE67000	Östergötland - 05	Kinda - 0513	SE4	SE4	Stångån	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE639144-149281	Herrestorpeån	Motala ström - SE67000	Kalmar - 08	Vimmerby - 0884	SE4	SE4	Stångån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE669515-163232	Forsmarksån	Forsmarksån - SE55000	Uppsala - 03	Östhammar - 0382	SE3	SE3	Forsmarksån	RW	Vattenförekomst	NV(F)	V4SYY	V	4	S	Y	Y
SE646315-151041	Söderköpingsån (Värna - Risten)	Söderköpingsån - SE68000	Östergötland - 05	Åtvidaberg - 0561	SE4	SE4	Söderköpingsån och Slätbaken	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE663073-146367	Storån mellan Kölsjöån och Sörsjön	Norrström - SE61000	Örebro - 18	Lindesberg - 1885	SE3	SE3	Borsån	RW	Vattenförekomst	NV(F)	V3LYN	V	3	L	Y	N
SE641181-147758	Stångån (V. Gullringen)	Motala ström - SE67000	Östergötland - 05	Ydre - 0512	SE4	SE4	Stångån	RW	Vattenförekomst	NV(R)	V4SNN	V	4	S	N	N
SE623650-132375	Rönne å: Hunserödsbäcken-Pinnån	Rönne å - SE96000	Skåne - 12	Klippan - 1276, Ängelholm - 1292	SE5	SE5	Rönne å	RW	Vattenförekomst	NV(F)	V5LYY	V	5	L	Y	Y
SE635184-135277	Västerån: Sävsjön - Majsjön	Nissan - SE101000	Jönköping - 06	Gislaved - 0662	SE5	SE5	Nissan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE657949-150063	"Namnlös": Tjurlångsbäcken	Norrström - SE61000	Västmanland - 19	Arboga - 1984	SE3	SE3	Hjälmaren	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE649308-147088	Motala Ström (Borensberg)	Motala ström - SE67000	Östergötland - 05	Motala - 0583	SE4	SE4	Övre Motalaström	RW	Vattenförekomst	KMV(R)	V4LYN	V	4	L	Y	N
SE667488-143152	Låsån	Norrström - SE61000	Dalarna - 20	Ludvika - 2085	SE3	SE3	Kolbäcksån	RW	Vattenförekomst	NV(F)	V2SYN	V	2	S	Y	N
SE642883-145314	Häradsbäcken	Motala ström - SE67000	Jönköping - 06, Östergötland - 05	Tranås - 0687, Ydre - 0512	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE643185-154074	Edsån: mynningen Syrsan -Bällsjöbäcken	Storån - SE70000	Kalmar - 08	Västervik - 0883	SE4	SE4	Storån vid Åtvidaberg	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE660562-148273	Västansjöbäcken från Björken till inloppet i Sällingsjön	Norrström - SE61000	Västmanland - 19, Örebro - 18	Köping - 1983, Lindesberg - 1885	SE3	SE3	Nedre Arbogaån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE662356-151678	Kölstaån: mellan Glåpmossen och Brännmossen	Norrström - SE61000	Västmanland - 19	Surahammar - 1907	SE3	SE3	Köpingsån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE629349-140735	Bäck mellan Östersjön - Kölnen	Helge å - SE88000	Kronoberg - 07	Alvesta - 0764, Ljungby - 0781	SE4	SE4	Helgeå	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE655840-143823	Svartån mellan Lillån vid Mullhyttan och Dike/bäck vid Skagershultamossen	Norrström - SE61000	Örebro - 18	Lekeberg - 1814	SE3	SE3	Svartån till Hjälmaren	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE641401-144118	Svartån: Vibäckabäcken - Anebysjön	Motala ström - SE67000	Jönköping - 06	Aneby - 0604	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(F)	V7LYN	V	7	L	Y	N
SE637196-153761	Bodaån: Plåttorpebäcken - Slissjön	Marströmmen - SE72000	Kalmar - 08	Oskarshamn - 0882	SE4	SE4	Marströmmen-Misterhult-Riskeboån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE637327-133786	Ätran: Svenljunga - sammaflöde med Assman	Ätran - SE103000	Västra Götaland - 14	Svenljunga - 1465	SE5	SE5	Ätran	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE621484-141720	SKRÄBEÅN: Havet-Ivösjön	Skräbeån - SE87000	Skåne - 12	Bromölla - 1272	SE4	SE4	Skräbeån	RW	Vattenförekomst	NV(F)	V5LNN	V	5	L	N	N
SE643863-144791	Lillån vid Tranås	Motala ström - SE67000	Jönköping - 06, Östergötland - 05	Tranås - 0687, Ödeshög - 0509	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE623338-147278	Angelån	Kustområde - SE81082	Blekinge - 10	Ronneby - 1081	SE4	SE4	Listerbyån/Angelån	RW	Vattenförekomst	NV(F)	V5SYN	V	5	S	Y	N
SE653927-151635	Bokvarnsån	Nyköpingsån - SE65000	Södermanland - 04	Katrineholm - 0483	SE3	SE3	Nyköpingsån	RW	Vattenförekomst	NV(F)	V4LNN	V	4	L	N	N
SE633526-149436	Nötån: Salen - Välen	Emån - SE74000	Kalmar - 08	Högsby - 0821	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE625208-147715	NÄTTRABYÅN: Bäck från Stora Skälen - Kvillebäcken	Nättrabyån - SE81000	Blekinge - 10	Karlskrona - 1080	SE4	SE4	Nättrabyån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE645275-144623	Bäck nedströms Mossebosjön	Motala ström - SE67000	Östergötland - 05	Boxholm - 0560, Ödeshög - 0509	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(R)	V4SYY	V	4	S	Y	Y
SE638379-135548	Åsarpsån: Grytterydssjön - sammanflöde med Månstadsån	Ätran - SE103000	Västra Götaland - 14	Tranemo - 1452	SE5	SE5	Ätran	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE639263-132170	Lillån (från Storsjö till utlopp i Viskan)	Viskan - SE105000	Västra Götaland - 14	Borås - 1490	SE5	SE5	Viskan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE638921-130108	Tomtabäcken från St Bergsjö	Rolfsån - SE106000	Västra Götaland - 14	Mark - 1463	SE5	SE5	Rolfsån	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE657838-155901	Eksågsån	Norrström - SE61000	Södermanland - 04	Eskilstuna - 0484, Strängnäs - 0486	SE3	SE3	Sörfjärden-Närområden	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE629057-131617	Nyrebäcken	Kustområde - SE101102	Halland - 13	Halmstad - 1380	SE5	SE5	Kustnära områden (mellan)	RW	Vattenförekomst	NV(F)	V6SYY	V	6	S	Y	Y
SE630095-135535	LIDHULTSÅN: Unnen - Stensjön	Lagan - SE98000	Kronoberg - 07	Ljungby - 0781	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE645793-127298	Bakerödsbäcken	Kustområde - SE108109	Västra Götaland - 14	Uddevalla - 1485	SE5	SE5	Kustnära områden (norr)	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE631540-147475	ALSTERÅN: Alstern - Möckeln	Alsterån - SE75000	Kronoberg - 07	Uppvidinge - 0760	SE4	SE4	Alsterån-Mönsterås	RW	Vattenförekomst	NV(F)	V7SNN	V	7	S	N	N
SE630560-143061	MÖRRUMSÅN: Bokabäcken - Bergkvarasjön	Mörrumsån - SE86000	Kronoberg - 07	Växjö - 0780	SE4	SE4	Mörrumsån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE640030-145269	Skiverstadsån	Emån - SE74000	Jönköping - 06	Aneby - 0604, Eksjö - 0686	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE642563-148247	Bäck från Tidersrum - Övre Fölingen	Motala ström - SE67000	Östergötland - 05	Kinda - 0513	SE4	SE4	Stångån	RW	Vattenförekomst	NV(R)	V4SNN	V	4	S	N	N
SE629127-152494	Surrebäcken	Kustområde - SE76077	Kalmar - 08	Kalmar - 0880, Nybro - 0881	SE4	SE4	Kalmar-Snärjebäcken-Nävraån	RW	Vattenförekomst	NV(F)	V5SYY	V	5	S	Y	Y
SE632830-144073	MÖRRUMSÅN: Tolgasjön - Mörrumsån från Öjaren	Mörrumsån - SE86000	Kronoberg - 07	Växjö - 0780	SE4	SE4	Mörrumsån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE653258-147505	Haddeboån mellan Hjärtasjön/Östersjön och Glottrabäcken	Motala ström - SE67000	Örebro - 18	Hallsberg - 1861	SE4	SE4	Finspångsåarna	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE621534-136947	Tormestorpsån	Helge å - SE88000	Skåne - 12	Hässleholm - 1293, Höör - 1267	SE4	SE4	Helgeå	RW	Vattenförekomst	NV(F)	V5SYY	V	5	S	Y	Y
SE619628-138871	Mjöån	Helge å - SE88000	Skåne - 12	Hörby - 1266, Kristianstad - 1290	SE4	SE4	Helgeå	RW	Vattenförekomst	NV(F)	V5SNY	V	5	S	N	Y
SE639029-128062	Bäck från Hassungaredssjöarna	Kungsbackaån - SE107000	Västra Götaland - 14	Mölndal - 1481	SE5	SE5	Kungsbackaån	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE634969-140336	Ruskån: Lagan - Skärsjöbäcken	Lagan - SE98000	Jönköping - 06	Värnamo - 0683	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE664323-148419	Hedströmmen: mellan Storsjön och mynningen till Djurlångsån	Norrström - SE61000	Västmanland - 19, Dalarna - 20	Skinnskatteberg - 1904, Smedjebacken - 2061	SE3	SE3	Hedströmmen	RW	Vattenförekomst	NV(F)	V3LNN	V	3	L	N	N
SE635786-143290	Bäck till Hägnaån	Lagan - SE98000	Jönköping - 06	Sävsjö - 0684	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE642726-139762	Lufsebäcken	Motala ström - SE67000	Jönköping - 06	Habo - 0643	SE4	SE4	Vättern	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE642672-144221	Svartån: Dryllån - Ralången	Motala ström - SE67000	Jönköping - 06	Aneby - 0604, Tranås - 0687	SE4	SE4	Motalaström sydvästra	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE634220-146044	Mörrumsån: Änghultasjön - Boskvarnasjön	Mörrumsån - SE86000	Kronoberg - 07, Jönköping - 06	Uppvidinge - 0760, Vetlanda - 0685	SE4	SE4	Mörrumsån	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE664220-149741	Gisslarboån: mellan Nedre Gävjan och Trehörningen	Norrström - SE61000	Västmanland - 19	Fagersta - 1982, Skinnskatteberg - 1904	SE3	SE3	Hedströmmen	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE651396-158027	Ångaån	Kustområde - SE63064	Södermanland - 04	Nyköping - 0480	SE3	SE3	Sörmlandskusten	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE631734-149541	ALSTERÅN: Uvasjön - Lillån 	Alsterån - SE75000	Kronoberg - 07	Uppvidinge - 0760	SE4	SE4	Alsterån-Mönsterås	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE629174-151551	Ljungbyån: Gunnaboån - Gunnaboån	Ljungbyån - SE77000	Kalmar - 08	Kalmar - 0880, Nybro - 0881	SE4	SE4	Ljungbyån	RW	Vattenförekomst	NV(F)	V5SYN	V	5	S	Y	N
SE658644-150055	Arbogaån: mellan "Gravudden" och mynningen till Skedviån	Norrström - SE61000	Västmanland - 19, Örebro - 18	Arboga - 1984, Lindesberg - 1885	SE3	SE3	Nedre Arbogaån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE654022-124861	Skuggälven	Strömsån - SE111000	Østfold - N1, Västra Götaland - 14	Halden - N101, Strömstad - 1486, Tanum - 1435	SE5	SE5	Strömsån	RW	Vattenförekomst	NV(F)	V6SNN	V	6	S	N	N
SE667274-157931	Åbyån	Tämnarån - SE54000	Uppsala - 03	Heby - 0331	SE3	SE3	Tämnarån	RW	Vattenförekomst	NV(F)	V4SYY	V	4	S	Y	Y
SE656444-145601	Täljeån från Torpabäckens utlopp till Stenebäckens utlopp 	Norrström - SE61000	Örebro - 18	Kumla - 1881, Lekeberg - 1814, Örebro - 1880	SE3	SE3	Täljeån	RW	Vattenförekomst	NV(F)	V4LYY	V	4	L	Y	Y
SE651705-156635	Nyköpingsån	Nyköpingsån - SE65000	Södermanland - 04	Nyköping - 0480	SE3	SE3	Nyköpingsån	RW	Vattenförekomst	NV(F)	V4LNN	V	4	L	N	N
SE628282-147941	Bjurbäcken	Lyckebyån - SE80000	Kalmar - 08	Emmaboda - 0862	SE4	SE4	Lyckebyån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE625329-147125	LISTERBYÅN: Hallsjön - Ljusterhövden	Kustområde - SE81082	Blekinge - 10, Kronoberg - 07	Karlskrona - 1080, Ronneby - 1081, Tingsryd - 0763	SE4	SE4	Listerbyån/Angelån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE651369-148625	Hällestadsån (Borggård-Hällestad)	Motala ström - SE67000	Östergötland - 05	Finspång - 0562	SE4	SE4	Finspångsåarna	RW	Vattenförekomst	NV(R)	V4SYN	V	4	S	Y	N
SE663805-150040	Gisslarboån: Erlandsbobäcken, Bockhammarsån, Dammängsån	Norrström - SE61000	Västmanland - 19	Skinnskatteberg - 1904	SE3	SE3	Hedströmmen	RW	Vattenförekomst	NV(F)	V3SYN	V	3	S	Y	N
SE638552-153588	Bälöbäcken	Marströmmen - SE72000	Kalmar - 08	Västervik - 0883	SE4	SE4	Marströmmen-Misterhult-Riskeboån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE640922-149786	Stångån: Vervelån - Krön	Motala ström - SE67000	Kalmar - 08	Vimmerby - 0884	SE4	SE4	Stångån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE656207-152160	Getebodabäcken	Norrström - SE61000	Södermanland - 04	Eskilstuna - 0484, Katrineholm - 0483	SE3	SE3	Hjälmaren	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE638386-143857	Bodanäsån	Emån - SE74000	Jönköping - 06	Nässjö - 0682	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE640297-137081	Jälmån: Kimmarebo till Grönahög	Ätran - SE103000	Västra Götaland - 14	Ulricehamn - 1491	SE5	SE5	Ätran	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE657284-157155	Bergaån	Norrström - SE61000	Södermanland - 04	Strängnäs - 0486	SE3	SE3	Råckstaån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE653988-123972	Vättlandsån - mynningen i Strömsvattnet till sammanflödet med Hämmensån	Strömsån - SE111000	Västra Götaland - 14	Strömstad - 1486	SE5	SE5	Strömsån	RW	Vattenförekomst	NV(F)	V6LYN	V	6	L	Y	N
SE645274-143707	Disevidån	Motala ström - SE67000	Jönköping - 06, Östergötland - 05	Tranås - 0687, Ödeshög - 0509	SE4	SE4	Vättern	RW	Vattenförekomst	NV(R)	V4LYY	V	4	L	Y	Y
SE638618-145333	Solgenån: Solgen - Havravikssjön	Emån - SE74000	Jönköping - 06	Eksjö - 0686	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE621314-135653	Snällerödsån	Rönne å - SE96000	Skåne - 12	Hässleholm - 1293, Höör - 1267, Klippan - 1276	SE5	SE5	Rönne å	RW	Vattenförekomst	NV(F)	V5LYN	V	5	L	Y	N
SE628923-139912	HELGE Å: Malasjön - Agunnarydsjön	Helge å - SE88000	Kronoberg - 07	Ljungby - 0781	SE4	SE4	Helgeå	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE655694-143607	Svartån mellan Teen och Lillån vid Mullhyttan	Norrström - SE61000	Örebro - 18	Lekeberg - 1814	SE3	SE3	Svartån till Hjälmaren	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE619310-132303	SAXÅN: Braån-Välabäcken	Saxån - SE93000	Skåne - 12	Kävlinge - 1261, Landskrona - 1282	SE4	SE4	Saxån	RW	Vattenförekomst	NV(F)	V5LNY	V	5	L	N	Y
SE627149-146159	Bäck från Vikholmen	Ronnebyån - SE82000	Kronoberg - 07	Tingsryd - 0763	SE4	SE4	Ronnebyån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE665161-153701	Skvalån: Skvalån, Storljusbäcken	Norrström - SE61000	Västmanland - 19	Sala - 1981	SE3	SE3	Sagån	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE655339-156632	Solbergaån från Ricksjön till Kyrksjön	Nyköpingsån - SE65000	Södermanland - 04	Gnesta - 0461	SE3	SE3	Nyköpingsån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE633694-130681	Lillån/Svartån	Ätran - SE103000	Halland - 13	Falkenberg - 1382, Varberg - 1383	SE5	SE5	Ätran	RW	Vattenförekomst	NV(F)	V6SYN	V	6	S	Y	N
SE635411-150251	Emån: Järnvägsdiket - Gårdvedaån	Emån - SE74000	Kalmar - 08	Hultsfred - 0860	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V4SNN	V	4	S	N	N
SE637928-148028	Sällevadsån: Flen - Källan	Emån - SE74000	Jönköping - 06	Eksjö - 0686, Vetlanda - 0685	SE4	SE4	Emån	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE659226-148670	Ässingån mellan Lillån och Arbogaån	Norrström - SE61000	Örebro - 18	Lindesberg - 1885	SE3	SE3	Nedre Arbogaån	RW	Vattenförekomst	NV(F)	V4LYN	V	4	L	Y	N
SE638199-142529	Kärraboån uppströms Davidstorpasjön	Lagan - SE98000	Jönköping - 06	Nässjö - 0682	SE5	SE5	Lagan	RW	Vattenförekomst	NV(F)	V7SYN	V	7	S	Y	N
SE658056-149270	"Namnlös": mellan Hjälmaren och Högsjön	Norrström - SE61000	Västmanland - 19	Arboga - 1984	SE3	SE3	Hjälmaren	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
SE643962-152622	Melbyån: Lermon - Antvarden	Storån - SE70000	Kalmar - 08	Västervik - 0883	SE4	SE4	Storån vid Åtvidaberg	RW	Vattenförekomst	NV(F)	V4SYN	V	4	S	Y	N
